Date	Open	High	Low	Close*	Adj Close**	Volume
Sep 30, 2022	29,123.03	29,355.78	28,715.85	28,725.51	28,725.51	464,260,000
Sep 29, 2022	29,513.73	29,513.73	28,997.34	29,225.61	29,225.61	388,820,000
Sep 28, 2022	29,198.92	29,811.78	29,114.97	29,683.74	29,683.74	436,040,000
Sep 27, 2022	29,419.88	29,659.12	28,958.22	29,134.99	29,134.99	355,460,000
Sep 26, 2022	29,536.84	29,630.77	29,161.12	29,260.81	29,260.81	369,450,000
Sep 23, 2022	29,955.65	29,955.65	29,250.47	29,590.41	29,590.41	388,200,000
Sep 22, 2022	30,204.52	30,302.28	29,994.53	30,076.68	30,076.68	335,270,000
Sep 21, 2022	30,819.39	31,020.79	30,181.99	30,183.78	30,183.78	354,960,000
Sep 20, 2022	30,888.53	30,888.53	30,465.91	30,706.23	30,706.23	317,970,000
Sep 19, 2022	30,722.86	31,026.89	30,559.37	31,019.68	31,019.68	291,200,000
Sep 16, 2022	30,866.61	30,866.61	30,550.08	30,822.42	30,822.42	627,920,000
Sep 15, 2022	31,124.68	31,277.69	30,882.08	30,961.82	30,961.82	345,500,000
Sep 14, 2022	31,141.02	31,276.82	30,885.02	31,135.09	31,135.09	348,670,000
Sep 13, 2022	32,006.50	32,006.50	31,018.54	31,104.97	31,104.97	428,930,000
Sep 12, 2022	32,159.49	32,504.04	32,159.49	32,381.34	32,381.34	339,250,000
Sep 09, 2022	31,876.22	32,227.74	31,876.22	32,151.71	32,151.71	310,980,000
Sep 08, 2022	31,481.95	31,783.37	31,321.50	31,774.52	31,774.52	344,340,000
Sep 07, 2022	31,145.63	31,644.34	31,095.21	31,581.28	31,581.28	345,080,000
Sep 06, 2022	31,343.79	31,463.89	31,048.46	31,145.30	31,145.30	347,320,000
Sep 02, 2022	31,848.50	32,026.90	31,182.09	31,318.44	31,318.44	306,180,000
Sep 01, 2022	31,454.58	31,677.51	31,219.75	31,656.42	31,656.42	339,360,000
Aug 31, 2022	31,827.15	31,966.04	31,509.59	31,510.43	31,510.43	392,780,000
Aug 30, 2022	32,163.84	32,205.66	31,647.22	31,790.87	31,790.87	317,150,000
Aug 29, 2022	32,188.00	32,325.16	31,972.79	32,098.99	32,098.99	317,820,000
Aug 26, 2022	33,293.43	33,364.70	32,278.22	32,283.40	32,283.40	352,850,000
Aug 25, 2022	33,029.27	33,306.09	32,889.85	33,291.78	33,291.78	308,530,000
Aug 24, 2022	32,899.01	33,095.50	32,828.56	32,969.23	32,969.23	256,900,000
Aug 23, 2022	33,033.52	33,138.26	32,858.89	32,909.59	32,909.59	251,870,000
Aug 22, 2022	33,586.59	33,586.59	33,007.63	33,063.61	33,063.61	308,900,000
Aug 19, 2022	33,904.69	33,904.69	33,627.09	33,706.74	33,706.74	293,990,000
Aug 18, 2022	33,981.86	34,043.83	33,844.46	33,999.04	33,999.04	282,550,000
Aug 17, 2022	34,029.55	34,161.01	33,828.41	33,980.32	33,980.32	281,390,000
Aug 16, 2022	33,924.35	34,281.36	33,852.57	34,152.01	34,152.01	288,670,000
Aug 15, 2022	33,710.70	33,954.71	33,582.96	33,912.44	33,912.44	262,670,000
Aug 12, 2022	33,430.72	33,767.09	33,398.32	33,761.05	33,761.05	299,140,000
Aug 11, 2022	33,451.51	33,651.80	33,289.83	33,336.67	33,336.67	308,030,000
Aug 10, 2022	33,130.63	33,364.41	33,130.63	33,309.51	33,309.51	311,740,000
Aug 09, 2022	32,807.36	32,877.53	32,702.66	32,774.41	32,774.41	281,080,000
Aug 08, 2022	32,877.36	33,109.96	32,769.10	32,832.54	32,832.54	275,350,000
Aug 05, 2022	32,593.90	32,814.61	32,489.62	32,803.47	32,803.47	273,010,000
Aug 04, 2022	32,805.69	32,829.22	32,652.63	32,726.82	32,726.82	315,590,000
Aug 03, 2022	32,514.21	32,912.74	32,514.21	32,812.50	32,812.50	342,160,000
Aug 02, 2022	32,691.29	32,772.93	32,387.12	32,396.17	32,396.17	316,740,000
Aug 01, 2022	32,755.71	32,972.03	32,640.79	32,798.40	32,798.40	321,180,000
Jul 29, 2022	32,515.62	32,910.18	32,493.02	32,845.13	32,845.13	487,360,000
Jul 28, 2022	32,197.62	32,609.54	31,982.61	32,529.63	32,529.63	331,110,000
Jul 27, 2022	31,865.05	32,336.23	31,799.43	32,197.59	32,197.59	365,480,000
Jul 26, 2022	31,950.04	31,950.04	31,705.36	31,761.54	31,761.54	324,930,000
Jul 25, 2022	31,950.93	32,029.03	31,821.67	31,990.04	31,990.04	255,450,000
Jul 22, 2022	32,167.92	32,219.25	31,731.47	31,899.29	31,899.29	319,880,000
Jul 21, 2022	31,826.49	32,040.63	31,534.08	32,036.90	32,036.90	302,320,000
Jul 20, 2022	31,829.99	31,944.45	31,646.95	31,874.84	31,874.84	313,520,000
Jul 19, 2022	31,165.91	31,842.25	31,165.91	31,827.05	31,827.05	378,720,000
Jul 18, 2022	31,475.98	31,644.68	30,982.97	31,072.61	31,072.61	309,960,000
Jul 15, 2022	30,775.37	31,288.26	30,775.37	31,288.26	31,288.26	321,570,000
Jul 14, 2022	30,451.80	30,680.12	30,143.93	30,630.17	30,630.17	325,130,000
Jul 13, 2022	30,743.63	30,979.17	30,514.61	30,772.79	30,772.79	291,830,000
Jul 12, 2022	31,113.31	31,346.10	30,860.51	30,981.33	30,981.33	324,190,000
Jul 11, 2022	31,277.98	31,367.55	31,114.40	31,173.84	31,173.84	245,020,000
Jul 08, 2022	31,348.43	31,511.46	31,212.45	31,338.15	31,338.15	238,120,000
Jul 07, 2022	31,190.65	31,421.84	31,154.64	31,384.55	31,384.55	296,620,000
Jul 06, 2022	30,957.30	31,224.69	30,794.84	31,037.68	31,037.68	289,800,000
Jul 05, 2022	30,903.12	30,971.74	30,355.12	30,967.82	30,967.82	323,080,000
Jul 01, 2022	30,737.77	31,139.35	30,487.79	31,097.26	31,097.26	310,440,000
Jun 30, 2022	30,790.00	30,979.85	30,431.87	30,775.43	30,775.43	394,070,000
Jun 29, 2022	31,067.41	31,152.96	30,894.53	31,029.31	31,029.31	269,390,000
Jun 28, 2022	31,549.05	31,885.09	30,934.33	30,946.99	30,946.99	350,780,000
Jun 27, 2022	31,533.60	31,598.59	31,351.37	31,438.26	31,438.26	309,910,000
Jun 24, 2022	30,846.94	31,517.29	30,846.94	31,500.68	31,500.68	465,480,000
Jun 23, 2022	30,570.33	30,715.63	30,293.40	30,677.36	30,677.36	361,420,000
Jun 22, 2022	30,352.57	30,777.92	30,166.01	30,483.13	30,483.13	343,490,000
Jun 21, 2022	30,074.69	30,653.98	30,074.69	30,530.25	30,530.25	376,900,000
Jun 17, 2022	29,912.70	30,167.52	29,653.29	29,888.78	29,888.78	692,830,000
Jun 16, 2022	30,305.74	30,305.74	29,740.35	29,927.07	29,927.07	442,910,000
Jun 15, 2022	30,570.50	31,011.97	30,185.08	30,668.53	30,668.53	392,670,000
Jun 14, 2022	30,592.34	30,690.80	30,144.23	30,364.83	30,364.83	366,800,000
Jun 13, 2022	31,144.91	31,144.91	30,373.72	30,516.74	30,516.74	472,290,000
Jun 10, 2022	32,053.52	32,053.52	31,387.84	31,392.79	31,392.79	362,300,000
Jun 09, 2022	32,828.62	32,956.73	32,267.78	32,272.79	32,272.79	289,710,000
Jun 08, 2022	33,087.07	33,156.50	32,824.37	32,910.90	32,910.90	270,470,000
Jun 07, 2022	32,783.03	33,207.45	32,641.85	33,180.14	33,180.14	270,750,000
Jun 06, 2022	33,032.04	33,235.37	32,819.50	32,915.78	32,915.78	253,010,000
Jun 03, 2022	32,986.32	33,135.61	32,839.21	32,899.70	32,899.70	298,570,000
Jun 02, 2022	32,809.01	33,248.61	32,509.43	33,248.28	33,248.28	333,210,000
Jun 01, 2022	33,156.31	33,272.34	32,584.76	32,813.23	32,813.23	338,210,000
May 31, 2022	33,160.59	33,240.22	32,752.34	32,990.12	32,990.12	533,560,000
May 27, 2022	32,735.09	33,213.62	32,682.01	33,212.96	33,212.96	328,770,000
May 26, 2022	32,248.17	32,774.14	32,248.17	32,637.19	32,637.19	351,220,000
May 25, 2022	31,816.31	32,254.44	31,754.33	32,120.28	32,120.28	343,460,000
May 24, 2022	31,717.61	32,014.86	31,365.59	31,928.62	31,928.62	382,950,000
May 23, 2022	31,395.89	31,968.42	31,395.89	31,880.24	31,880.24	402,010,000
May 20, 2022	31,426.94	31,515.78	30,635.76	31,261.90	31,261.90	495,510,000
May 19, 2022	31,262.62	31,569.13	31,016.41	31,253.13	31,253.13	517,190,000
May 18, 2022	32,468.67	32,468.67	31,393.95	31,490.07	31,490.07	465,060,000
May 17, 2022	32,427.00	32,689.14	32,308.15	32,654.59	32,654.59	389,310,000
May 16, 2022	32,152.15	32,514.02	31,928.18	32,223.42	32,223.42	330,030,000
May 13, 2022	31,963.86	32,276.05	31,862.79	32,196.66	32,196.66	388,520,000
May 12, 2022	31,699.04	31,914.46	31,228.22	31,730.30	31,730.30	544,240,000
May 11, 2022	32,123.24	32,584.02	31,798.86	31,834.11	31,834.11	458,460,000
May 10, 2022	32,504.09	32,752.17	31,887.89	32,160.74	32,160.74	439,290,000
May 09, 2022	32,685.17	32,685.17	32,121.98	32,245.70	32,245.70	470,770,000
May 06, 2022	32,773.88	33,055.84	32,474.69	32,899.37	32,899.37	416,520,000
May 05, 2022	33,854.17	33,854.17	32,685.10	32,997.97	32,997.97	448,420,000
May 04, 2022	33,171.80	34,117.74	33,021.84	34,061.06	34,061.06	411,060,000
May 03, 2022	33,086.09	33,341.58	32,914.75	33,128.79	33,128.79	364,420,000
May 02, 2022	32,978.49	33,224.95	32,449.87	33,061.50	33,061.50	453,390,000
Apr 29, 2022	33,787.01	33,919.59	32,913.15	32,977.21	32,977.21	501,560,000
Apr 28, 2022	33,425.96	34,054.79	33,248.46	33,916.39	33,916.39	440,380,000
Apr 27, 2022	33,450.92	33,697.18	33,108.89	33,301.93	33,301.93	447,230,000
Apr 26, 2022	33,907.49	33,909.51	33,230.95	33,240.18	33,240.18	400,020,000
Apr 25, 2022	33,731.65	34,106.01	33,323.37	34,049.46	34,049.46	416,900,000
Apr 22, 2022	34,727.38	34,727.38	33,773.39	33,811.40	33,811.40	373,280,000
Apr 21, 2022	35,258.80	35,492.22	34,723.82	34,792.76	34,792.76	366,390,000
Apr 20, 2022	34,962.67	35,315.40	34,962.67	35,160.79	35,160.79	337,620,000
Apr 19, 2022	34,394.62	34,983.11	34,394.62	34,911.20	34,911.20	296,350,000
Apr 18, 2022	34,411.49	34,618.29	34,279.08	34,411.69	34,411.69	264,110,000
Apr 14, 2022	34,628.46	34,889.17	34,437.50	34,451.23	34,451.23	353,680,000
Apr 13, 2022	34,166.64	34,598.36	34,140.64	34,564.59	34,564.59	313,630,000
Apr 12, 2022	34,412.51	34,669.97	34,102.81	34,220.36	34,220.36	333,510,000
Apr 11, 2022	34,630.27	34,701.34	34,272.29	34,308.08	34,308.08	333,290,000
Apr 08, 2022	34,569.24	34,908.46	34,470.19	34,721.12	34,721.12	301,750,000
Apr 07, 2022	34,439.24	34,705.83	34,190.95	34,583.57	34,583.57	319,870,000
Apr 06, 2022	34,520.34	34,609.84	34,277.17	34,496.51	34,496.51	386,250,000
Apr 05, 2022	34,876.33	35,112.21	34,566.04	34,641.18	34,641.18	304,010,000
Apr 04, 2022	34,799.98	34,940.78	34,615.38	34,921.88	34,921.88	316,570,000
Apr 01, 2022	34,740.89	34,847.91	34,538.25	34,818.27	34,818.27	340,400,000
Mar 31, 2022	35,201.52	35,201.52	34,677.99	34,678.35	34,678.35	433,400,000
Mar 30, 2022	35,273.63	35,361.36	35,058.58	35,228.81	35,228.81	317,320,000
Mar 29, 2022	35,114.35	35,372.26	35,030.07	35,294.19	35,294.19	355,050,000
Mar 28, 2022	34,833.03	34,957.93	34,552.23	34,955.89	34,955.89	299,790,000
Mar 25, 2022	34,702.39	34,942.70	34,631.52	34,861.24	34,861.24	285,440,000
Mar 24, 2022	34,406.81	34,713.56	34,355.42	34,707.94	34,707.94	324,870,000
Mar 23, 2022	34,748.84	34,748.84	34,352.96	34,358.50	34,358.50	347,880,000
Mar 22, 2022	34,583.24	34,882.03	34,583.24	34,807.46	34,807.46	368,550,000
Mar 21, 2022	34,669.85	34,808.28	34,341.81	34,552.99	34,552.99	408,490,000
Mar 18, 2022	34,466.72	34,755.20	34,279.83	34,754.93	34,754.93	615,420,000
Mar 17, 2022	33,995.39	34,483.92	33,896.06	34,480.76	34,480.76	339,470,000
Mar 16, 2022	33,653.93	34,075.94	33,391.24	34,063.10	34,063.10	427,400,000
Mar 15, 2022	32,989.27	33,620.84	32,989.27	33,544.34	33,544.34	388,810,000
Mar 14, 2022	33,000.37	33,395.59	32,818.16	32,945.24	32,945.24	394,940,000
Mar 11, 2022	33,279.72	33,515.61	32,911.89	32,944.19	32,944.19	369,480,000
Mar 10, 2022	33,106.77	33,236.59	32,819.76	33,174.07	33,174.07	399,480,000
Mar 09, 2022	32,860.42	33,457.28	32,860.42	33,286.25	33,286.25	418,670,000
Mar 08, 2022	32,885.17	33,402.98	32,578.73	32,632.64	32,632.64	553,750,000
Mar 07, 2022	33,579.75	33,579.75	32,806.15	32,817.38	32,817.38	488,400,000
Mar 04, 2022	33,655.43	33,655.43	33,254.12	33,614.80	33,614.80	408,390,000
Mar 03, 2022	33,972.87	34,179.07	33,641.53	33,794.66	33,794.66	369,740,000
Mar 02, 2022	33,379.51	34,013.67	33,379.51	33,891.35	33,891.35	400,920,000
Mar 01, 2022	33,813.48	33,870.14	33,107.67	33,294.95	33,294.95	438,730,000
Feb 28, 2022	33,870.62	33,963.63	33,469.31	33,892.60	33,892.60	443,460,000
Feb 25, 2022	33,277.22	34,095.74	33,277.22	34,058.75	34,058.75	417,630,000
Feb 24, 2022	32,830.33	33,269.34	32,272.64	33,223.83	33,223.83	590,850,000
Feb 23, 2022	33,680.97	33,832.59	33,084.90	33,131.76	33,131.76	370,600,000
Feb 22, 2022	33,974.09	34,024.74	33,364.29	33,596.61	33,596.61	432,090,000
Feb 18, 2022	34,310.45	34,423.58	33,976.18	34,079.18	34,079.18	414,080,000
Feb 17, 2022	34,858.47	34,858.47	34,246.23	34,312.03	34,312.03	348,720,000
Feb 16, 2022	34,951.83	35,042.09	34,642.64	34,934.27	34,934.27	294,410,000
Feb 15, 2022	34,686.19	35,047.79	34,686.19	34,988.84	34,988.84	305,670,000
Feb 14, 2022	34,694.50	34,744.56	34,304.28	34,566.17	34,566.17	370,320,000
Feb 11, 2022	35,267.89	35,431.15	34,620.52	34,738.06	34,738.06	398,860,000
Feb 10, 2022	35,630.81	35,800.24	35,100.72	35,241.59	35,241.59	411,620,000
Feb 09, 2022	35,614.90	35,824.28	35,614.90	35,768.06	35,768.06	333,610,000
Feb 08, 2022	35,160.68	35,544.89	35,090.42	35,462.78	35,462.78	319,190,000
Feb 07, 2022	35,108.38	35,325.01	34,993.98	35,091.13	35,091.13	328,910,000
Feb 04, 2022	35,095.74	35,333.55	34,799.08	35,089.74	35,089.74	349,880,000
Feb 03, 2022	35,520.08	35,535.94	35,071.06	35,111.16	35,111.16	381,020,000
Feb 02, 2022	35,378.19	35,679.20	35,290.12	35,629.33	35,629.33	359,540,000
Feb 01, 2022	35,151.47	35,441.09	34,977.95	35,405.24	35,405.24	386,080,000
Jan 31, 2022	34,691.17	35,148.14	34,496.10	35,131.86	35,131.86	468,070,000
Jan 28, 2022	34,135.24	34,731.77	33,807.51	34,725.47	34,725.47	568,440,000
Jan 27, 2022	34,261.75	34,773.32	34,007.78	34,160.78	34,160.78	527,780,000
Jan 26, 2022	34,520.82	34,815.67	33,876.48	34,168.09	34,168.09	546,330,000
Jan 25, 2022	34,186.64	34,591.04	33,545.52	34,297.73	34,297.73	506,430,000
Jan 24, 2022	34,070.61	34,420.99	33,150.33	34,364.50	34,364.50	664,010,000
Jan 21, 2022	34,701.69	34,896.67	34,229.55	34,265.37	34,265.37	523,880,000
Jan 20, 2022	35,102.66	35,490.20	34,670.12	34,715.39	34,715.39	369,070,000
Jan 19, 2022	35,412.30	35,547.83	35,015.49	35,028.65	35,028.65	393,080,000
Jan 18, 2022	35,661.76	35,661.76	35,262.02	35,368.47	35,368.47	427,260,000
Jan 14, 2022	35,996.43	35,996.43	35,641.49	35,911.81	35,911.81	389,200,000
Jan 13, 2022	36,312.49	36,513.88	36,044.22	36,113.62	36,113.62	343,640,000
Jan 12, 2022	36,336.16	36,453.49	36,168.15	36,290.32	36,290.32	310,180,000
Jan 11, 2022	36,058.85	36,271.47	35,769.38	36,252.02	36,252.02	356,850,000
Jan 10, 2022	36,175.21	36,175.21	35,639.91	36,068.87	36,068.87	430,680,000
Jan 07, 2022	36,249.59	36,382.84	36,111.53	36,231.66	36,231.66	356,110,000
Jan 06, 2022	36,409.05	36,464.19	36,200.68	36,236.47	36,236.47	385,890,000
Jan 05, 2022	36,722.60	36,952.65	36,400.39	36,407.11	36,407.11	462,040,000
Jan 04, 2022	36,636.00	36,934.84	36,636.00	36,799.65	36,799.65	435,080,000
Jan 03, 2022	36,321.59	36,595.82	36,246.45	36,585.06	36,585.06	347,930,000
Dec 31, 2021	36,385.85	36,484.94	36,303.97	36,338.30	36,338.30	213,200,000
Dec 30, 2021	36,522.48	36,679.44	36,372.13	36,398.08	36,398.08	205,620,000
Dec 29, 2021	36,421.14	36,571.55	36,396.19	36,488.63	36,488.63	213,480,000
Dec 28, 2021	36,302.99	36,527.26	36,302.99	36,398.21	36,398.21	239,090,000
Dec 27, 2021	35,954.48	36,306.61	35,954.48	36,302.38	36,302.38	244,350,000
Dec 23, 2021	35,782.42	36,060.99	35,782.42	35,950.56	35,950.56	247,420,000
Dec 22, 2021	35,491.71	35,764.67	35,433.13	35,753.89	35,753.89	281,930,000
Dec 21, 2021	35,069.50	35,508.96	35,069.50	35,492.70	35,492.70	346,080,000
Dec 20, 2021	35,222.12	35,222.12	34,665.50	34,932.16	34,932.16	386,590,000
Dec 17, 2021	35,800.11	35,800.11	35,284.26	35,365.44	35,365.44	750,480,000
Dec 16, 2021	36,036.28	36,189.83	35,778.21	35,897.64	35,897.64	473,620,000
Dec 15, 2021	35,549.35	35,943.84	35,389.30	35,927.43	35,927.43	424,720,000
Dec 14, 2021	35,605.73	35,779.47	35,441.74	35,544.18	35,544.18	440,900,000
Dec 13, 2021	35,958.93	35,958.93	35,609.53	35,650.95	35,650.95	441,110,000
Dec 10, 2021	35,830.55	35,982.69	35,710.43	35,970.99	35,970.99	361,200,000
Dec 09, 2021	35,722.26	35,864.24	35,577.14	35,754.69	35,754.69	353,020,000
Dec 08, 2021	35,716.85	35,840.52	35,602.65	35,754.75	35,754.75	387,650,000
Dec 07, 2021	35,423.99	35,819.47	35,423.99	35,719.43	35,719.43	474,940,000
Dec 06, 2021	34,633.43	35,356.75	34,633.43	35,227.03	35,227.03	416,720,000
Dec 03, 2021	34,692.78	34,801.31	34,264.57	34,580.08	34,580.08	439,550,000
Dec 02, 2021	34,076.25	34,759.65	34,076.25	34,639.79	34,639.79	466,900,000
Dec 01, 2021	34,678.94	35,004.64	34,006.98	34,022.04	34,022.04	496,000,000
Nov 30, 2021	35,056.99	35,056.99	34,424.44	34,483.72	34,483.72	678,800,000
Nov 29, 2021	35,017.71	35,287.91	34,895.89	35,135.94	35,135.94	416,040,000
Nov 26, 2021	35,366.69	35,366.69	34,749.80	34,899.34	34,899.34	324,580,000
Nov 24, 2021	35,752.31	35,825.47	35,591.03	35,804.38	35,804.38	280,960,000
Nov 23, 2021	35,619.92	35,841.52	35,542.87	35,813.80	35,813.80	392,520,000
Nov 22, 2021	35,631.41	35,929.66	35,615.55	35,619.25	35,619.25	420,810,000
Nov 19, 2021	35,879.09	35,879.09	35,555.37	35,601.98	35,601.98	408,840,000
Nov 18, 2021	35,901.69	35,952.63	35,654.39	35,870.95	35,870.95	435,080,000
Nov 17, 2021	36,159.70	36,159.70	35,909.48	35,931.05	35,931.05	358,310,000
Nov 16, 2021	36,076.18	36,316.61	36,076.18	36,142.22	36,142.22	308,290,000
Nov 15, 2021	36,128.83	36,236.07	36,031.78	36,087.45	36,087.45	280,660,000
Nov 12, 2021	35,963.78	36,147.63	35,934.59	36,100.31	36,100.31	293,180,000
Nov 11, 2021	36,038.78	36,108.17	35,915.27	35,921.23	35,921.23	270,320,000
Nov 10, 2021	36,299.25	36,346.61	36,009.50	36,079.94	36,079.94	278,390,000
Nov 09, 2021	36,404.53	36,416.98	36,173.07	36,319.98	36,319.98	258,020,000
Nov 08, 2021	36,416.46	36,565.73	36,334.42	36,432.22	36,432.22	284,400,000
Nov 05, 2021	36,268.75	36,484.75	36,190.20	36,327.95	36,327.95	344,600,000
Nov 04, 2021	36,107.46	36,168.03	35,986.48	36,124.23	36,124.23	307,640,000
Nov 03, 2021	36,059.09	36,178.51	35,891.73	36,157.58	36,157.58	262,540,000
Nov 02, 2021	35,935.11	36,088.81	35,884.13	36,052.63	36,052.63	304,510,000
Nov 01, 2021	35,833.65	36,009.74	35,797.97	35,913.84	35,913.84	292,880,000
Oct 29, 2021	35,712.28	35,852.53	35,633.20	35,819.56	35,819.56	399,400,000
Oct 28, 2021	35,545.41	35,742.25	35,545.41	35,730.48	35,730.48	337,400,000
Oct 27, 2021	35,835.43	35,835.43	35,490.43	35,490.69	35,490.69	354,180,000
Oct 26, 2021	35,791.05	35,892.92	35,734.73	35,756.88	35,756.88	321,910,000
Oct 25, 2021	35,692.62	35,787.04	35,629.37	35,741.15	35,741.15	267,220,000
Oct 22, 2021	35,607.72	35,765.02	35,533.95	35,677.02	35,677.02	346,290,000
Oct 21, 2021	35,520.32	35,612.36	35,442.53	35,603.08	35,603.08	298,390,000
Oct 20, 2021	35,475.16	35,669.69	35,465.71	35,609.34	35,609.34	265,750,000
Oct 19, 2021	35,325.37	35,462.68	35,290.12	35,457.31	35,457.31	278,510,000
Oct 18, 2021	35,221.02	35,327.57	35,035.94	35,258.61	35,258.61	312,640,000
Oct 15, 2021	35,023.63	35,320.97	35,023.63	35,294.76	35,294.76	327,870,000
Oct 14, 2021	34,443.22	34,923.83	34,443.22	34,912.56	34,912.56	338,540,000
Oct 13, 2021	34,372.71	34,449.83	34,115.10	34,377.81	34,377.81	316,220,000
Oct 12, 2021	34,507.15	34,611.24	34,318.94	34,378.34	34,378.34	319,010,000
Oct 11, 2021	34,723.79	34,951.35	34,486.51	34,496.06	34,496.06	256,820,000
Oct 08, 2021	34,757.57	34,842.62	34,661.95	34,746.25	34,746.25	238,080,000
Oct 07, 2021	34,509.72	34,975.19	34,509.72	34,754.94	34,754.94	273,290,000
Oct 06, 2021	34,198.96	34,432.68	33,854.69	34,416.99	34,416.99	322,170,000
Oct 05, 2021	34,035.25	34,490.95	34,035.25	34,314.67	34,314.67	311,520,000
Oct 04, 2021	34,312.96	34,410.28	33,821.58	34,002.92	34,002.92	396,860,000
Oct 01, 2021	33,930.70	34,490.56	33,785.54	34,326.46	34,326.46	427,580,000
